﻿initials,website,full_name,l_name_exists,title,school,department
CW,faculty/caw3we,Carlin Williams,1,Assistant Professor,School of Medicine,Department of Surgery
CW,faculty/clw3b,Cedric L. Williams,1,Professor,College of Arts and Sciences,Department of Psychology
CW,faculty/cw7f,Cynthia L. Wilkey,1,Associate Professor,UVA College at Wise,UVA College at Wise
CW,faculty/caw2pa,Clareen A. Wiencek,1,Professor,School of Nursing,School of Nursing
CW,faculty/cm4xd,Catherine K. Whittier,1,Lecturer,McIntire School of Commerce,McIntire School of Commerce
CW,faculty/cdw7y,Cameron Whitehouse,1,Professor,School of Engineering and Applied Science,Department of Computer Science
CW,faculty/ca6t,Cirle A. Warren,1,Associate Professor,School of Medicine,"Department of Medicine, Infectious Diseases"
CW,faculty/cpw7k,Constance Warnock,1,Lecturer,Operations,Office of the University Architect
CW,faculty/cw8de,Caroline Walters,1,University Records Officer,Executive Vice President and Chief Operating Officer,Records Management
CW,faculty/cw5p,Cynthia Wall,1,Professor,College of Arts and Sciences,Department of English
CY,faculty/cay2m,Christopher A. Yung,1,Associate Professor,McIntire School of Commerce,McIntire School of Commerce
CY,faculty/cmy8x,Cynthia Yoshida,1,Professor,School of Medicine,"Department of Medicine, Gastroenterology"
CY,faculty/cy4f,Chun-Po Yen,1,Associate Professor,School of Medicine,Department of Neurological Surgery
CY,faculty/cy5x,Chan Choo Choo Yap,1,Assistant Professor,School of Medicine,Department of Cell Biology
CZ,faculty/cz5h,Cong Zhang,1,Associate Professor,College of Arts and Sciences,Department of History
CZ,faculty/cpz6n,Carl P. Zeithaml,1,Dean Emeritus,McIntire School of Commerce,McIntire School of Commerce
CZ,faculty/cz3d,Chongzhi Zang,1,Assistant Professor,School of Medicine,PBHS Public Health Sciences Admin
DA,faculty/dta4n,David T. Auble,1,Professor,School of Medicine,Department of Biochemistry and Molecular Genetics
DA,faculty/dda8xx,DeVan Ard,1,Lecturer,College of Arts and Sciences,Department of English
DA,faculty/dpa8w,Derrick P. Alridge,1,Professor,Curry School of Education,Curry School of Education
DA,faculty/da9zj,Dana P. Albon,1,Associate Professor,School of Medicine,"Department of Medicine, Pulmonary and Critical Care"
DB,faculty/dn6nn,David Baiao Nemer,1,Assistant Professor,College of Arts and Sciences,Department of Media Studies
DB,faculty/drb7c,Donna R. Buck,1,Professor,School of Law,School of Law
DB,faculty/deb,Donald E. Brown,1,Professor,    ,Data Science School
DB,faculty/dkb5sp,Darryl K. Brown,1,Professor,School of Law,School of Law
DB,faculty/dkb6v,Donna K. Broshek,1,Professor,School of Medicine,Department of Psychiatry and NB Sciences
DB,faculty/drb8x,David R. Brenin,1,Professor,School of Medicine,Department of Surgery
DB,faculty/dlb7q,David Bogdonoff,1,Associate Professor,School of Medicine,Department of Anesthesiology
DB,faculty/dmb4sa,Donna Bindig,1,Instructor,School of Nursing,School of Nursing
DB,faculty/dms7g,Deborah Berkeley,1,Associate Director,Student Affairs,Elson Student Health Center
DB,faculty/dab3y,Douglas A. Bayliss,1,Professor,School of Medicine,Department of Pharmacology
DB,faculty/db2mr,Derek Bauer,1,Assistant Professor,School of Medicine,Department of Neurology
DB,faculty/db9ec,Daphna Bassok,1,Associate Professor,Curry School of Education,Curry School of Education
DB,faculty/dsb9u,Deborah S. Barry,1,Assistant Professor,School of Medicine,"School of Medicine, Curriculum"
DB,faculty/djb4d,Dorothe J Bach,1,Professor,Provost's Office,Center for Teaching Excellence
DC,faculty/djc4f,Daniel J. Cox,1,Professor,School of Medicine,Department of Psychiatry and NB Sciences
DC,faculty/dgc2f,Dewey G. Cornell,1,Professor,Curry School of Education,Curry School of Education
DC,faculty/dcc3a,Dale C. Copeland,1,Professor,College of Arts and Sciences,Department of Politics
DC,faculty/drc2n,David Cooper,1,Instructor,School of Medicine,Department of Molecular Phys and Biological Physics
DC,faculty/uqg7tt,Danielle Citron,1,Professor,School of Law,School of Law
DC,faculty/dtc6k,Donna Chen,1,Associate Professor,School of Medicine,PBHS Public Health Sciences Admin
DC,faculty/dc9rk,David Chen,1,Coulter Project Director,School of Medicine,Department of Biomedical Engineering
DC,faculty/dcc6w,Dania Chastain,1,Associate Professor of Clinical Anesthesiology,School of Medicine,Department of Anesthesiology
DC,faculty/dac2ug,David Arthur Chapman,1,Professor,McIntire School of Commerce,McIntire School of Commerce
DC,faculty/jc7sj,Deborah Carver,1,Associate Professor,School of Medicine,Department of Pediatrics
DC,faculty/dlc4e,Debra L. Carter,1,Associate Professor,UVA College at Wise,UVA College at Wise
DC,faculty/dec5z,David E. Carr,1,Professor,College of Arts and Sciences,Blandy Experimental Farm
DC,faculty/dc7zm,David Callender,1,Assistant Professor,School of Medicine,"Department of Medicine, Division of General, Geriatric, Palliative &amp; Hospital Medicine"
DC,faculty/dsc0b,David S. Cafiso,1,Professor,College of Arts and Sciences,Department of Chemistry
DD,faculty/dd7ss,Donald Joe Dudley,1,Professor,School of Medicine,Department of Obstetrics and Gynecology
DD,faculty/dld5dt,David L. Driscoll,1,Associate Professor,School of Medicine,"School of Medicine, Research"
DD,faculty/djd5b,Devin Jude Donovan,1,Assistant Professor,College of Arts and Sciences,Department of English
DD,faculty/dd4wt,Devin Dobrowolski,1,Assistant Professor,School of Architecture,Department of Architecture
DD,faculty/djd4j,Dudley Doane,1,"DIR, Summer &amp; Spec Academic Programs, DIR,ISO",Provost's Office,Office of the Vice Prov for Instructional Dev
DD,faculty/drd5c,David R. Diduch,1,Professor,School of Medicine,Orthopaedic Surgery Sports Medicine Division
DD,faculty/ded2x,Don E. Detmer,1,Professor Emeritus,School of Medicine,PBHS Public Health Sciences Admin
DD,faculty/dwd3m,Douglas W. DeSimone,1,Professor,School of Medicine,Department of Cell Biology
DD,faculty/dnd2t,Dylan Nicole Deal,1,Associate Professor,School of Medicine,Orthopaedic Hand Surgery Division
DD,faculty/dbd,Donal B. Day,1,Professor,College of Arts and Sciences,Institute for Nuclear and Particle Physics
DD,faculty/dfd6r,Derick Francis Davis,1,Assistant Professor,McIntire School of Commerce,McIntire School of Commerce
DD,faculty/dnd8b,David Norris Dalton,1,Assistant Professor,College of Arts and Sciences,Department of Drama
DE,faculty/dhe5f,David Eddy Eddy Spicer,1,Professor,Curry School of Education,Curry School of Education
DE,faculty/dee2b,David Evans,1,Professor,School of Engineering and Applied Science,Department of Computer Science
DE,faculty/dme2r,Deirdre M. Enright,1,Professor,School of Law,School of Law
DE,faculty/dae2s,Daniel A. Engel,1,Professor,School of Medicine,Department of Microbiology
DE,faculty/dme2j,Dana M. Elzey,1,Assoc Professor,School of Engineering and Applied Science,Department of Engineering and Society
DE,faculty/dae9c,Donald Elmer,1,Assistant Professor,School of Medicine,Department of Anesthesiology
DE,faculty/dae7c,David Anthony Edwards,1,Associate Professor,Curry School of Education,Department of Kinesiology
DE,faculty/dse7r,David Stuart Edmunds,1,Associate Professor,College of Arts and Sciences,Global Development Studies
DF,faculty/dkf2x,Deborah K. Froh,1,Associate Professor,School of Medicine,Department of Pediatrics
DF,faculty/def3qu,David Frazier,1,Instructor in Computer Science,UVA College at Wise,UVA College at Wise
DF,faculty/dcu2h,Deborah U Frank,1,Associate Professor,School of Medicine,Department of Pediatrics
DF,faculty/df2p,Douglas Fordham,1,Professor,College of Arts and Sciences,Department of Art
DF,faculty/df5bp,David Florez-Murillo,1,Lecturer,College of Arts and Sciences,"Department for Spanish, Italian, and Portuguese"
DF,faculty/djf4k,David Fink,1,Assistant Professor,School of Medicine,"Department of Medicine, Hospital Medicine"
DF,faculty/djf2g,David J. Feith,1,Associate Professor,School of Medicine,"Department of Medicine, Hematology and Oncology"
DF,faculty/dmf8a,Diana Duran,1,Assistant Professor,School of Engineering and Applied Science,Department of Systems and Information Engineering
DG,faculty/djg2s,Darren Guffey,1,Assistant Professor,School of Medicine,Department of Dermatology
DG,faculty/ds3dq,Danja S. Groves,1,Associate Professor,School of Medicine,Department of Anesthesiology
DG,faculty/dwg7u,David W. Grissmer,1,Research Professor of Education,Curry School of Education,Curry School of Education
DG,faculty/dg2gf,Don Griffin,1,Assistant Professor,School of Engineering and Applied Science,Department of Biomedical Engineering
DG,faculty/dmg3v,Darlinda Grice,1,Assistant Professor,School of Medicine,Department of Physical Medicine and Rehabilitation
DG,faculty/dpg4b,Derald Grice,1,Associate Professor,School of Medicine,Department of Physical Medicine and Rehabilitation
DG,faculty/dlg9s,David L. Green,1,Associate Professor,School of Engineering and Applied Science,Department of Materials Science and Engineering
DG,faculty/dgg6b,Daniel Graham,1,Assistant Professor,School of Engineering and Applied Science,Department of Computer Science
DG,faculty/dpg4n,Demian Goldstein,1,Assistant Athletics Director for Video Services,Athletics Department,Department of Athletics
DG,faculty/dgg3f,Daniel G. Gioeli,1,Associate Professor,School of Medicine,Department of Microbiology
DG,faculty/dwg4c,Daniel Willard Gingerich,1,Associate Professor,College of Arts and Sciences,Department of Politics
DG,faculty/dfg9w,David F. Germano,1,Professor,College of Arts and Sciences,Department of Religious Studies
DG,faculty/djg3w,Daniel Gardiner,1,Instructor,School of Medicine,Department of Radiology
DG,faculty/dg4vd,Debjani Ganguly,1,Professor,College of Arts and Sciences,Department of English
DH,faculty/dfh,Donald F. Hunt,1,Professor,College of Arts and Sciences,Department of Chemistry
DH,faculty/djh2t,David Hudson,1,Senior Associate Vice President for Research,Research and Public Service,Office of the VP for Research
DH,faculty/djh3f,David J. Hryvniak,1,Assistant Professor,School of Medicine,Department of Physical Medicine and Rehabilitation
DH,faculty/dmh3a,Diane M. Hoffman,1,Associate Professor,Curry School of Education,Curry School of Education
DH,faculty/dh2t,David Hill,1,Professor,College of Arts and Sciences,Department of Psychology
DH,faculty/dh9a,David Herman,1,Associate Professor,College of Arts and Sciences,Department of Slavic Languages and Literatures
DH,faculty/dh9ev,Deborah Hellman,1,Professor,School of Law,School of Law
DH,faculty/dlh6f,Donna L. Hearn,1,Lecturer,College of Arts and Sciences,Department of Psychology
DH,faculty/dkh2a,Devin K. Harris,1,Associate Professor,School of Engineering and Applied Science,Department of Systems and Information Engineering
DH,faculty/dh3mx,Drew A. Harris,1,Assistant Professor,School of Medicine,"Department of Medicine, Pulmonary and Critical Care"
DH,faculty/dgh8a,Dina Halme,1,Assistant Professor,School of Medicine,Cancer Center
DH,faculty/djh2q,Daniel J. Haisenleder,1,Associate Professor,School of Medicine,"Department of Medicine, Endocrinology and Metabolism"
DJ,faculty/dj5p,David Joyner,1,Assistant Professor,School of Medicine,Department of Radiology
DK,faculty/dk3mb,Dennis Kumral,1,Assistant Professor,School of Medicine,"Department of Medicine, Gastroenterology"
DK,faculty/djk4s,David Korfhagen,1,Lecturer,College of Arts and Sciences,"Department for Spanish, Italian, and Portuguese"
DK,faculty/dh3ra,Daphne Knicely,1,Associate Professor,School of Medicine,"Department of Medicine, Nephrology Division"
DK,faculty/rnp6dm,Dominique Klakoski,1,Professor,School of Nursing,School of Nursing
DK,faculty/djk3w,David J Kittlesen,1,Associate Professor,College of Arts and Sciences,Department of Biology
DK,faculty/dlk9t,Donald Kimpel,1,Associate Professor,School of Medicine,"Department of Medicine, Rheumatology"
DK,faculty/dlk8f,David L. Kendall,1,Professor,UVA College at Wise,UVA College at Wise
DK,faculty/dmk9m,Dustin M. Keller,1,Assistant Professor,College of Arts and Sciences,Department of Physics
DK,faculty/dhk3k,Dean H. Kedes,1,Professor,School of Medicine,Department of Microbiology
DK,faculty/dak4r,David A. Kaufman,1,Professor,School of Medicine,Department of Pediatrics
DK,faculty/dfk2n,David F. Kashatus,1,Associate Professor,School of Medicine,Department of Microbiology
DK,faculty/dik4e,Denise I. Karaoli,1,"Director, International Student Careers",Darden School of Business,Darden Graduate School of Business
DL,faculty/dl3c,Deborah,0,Professor,College of Arts and Sciences,Department of Environmental Sciences
DL,faculty/dl4zt,David Loy,1,Assistant Professor of Radiology &amp; Medical Imaging,School of Medicine,Interventional Neuroradiology
DL,faculty/dl4f,Despo A. Louca,1,Professor,College of Arts and Sciences,Department of Physics
DL,faculty/dyl3a,David Ling,1,Associate Professor of Medicine,School of Medicine,"Department of Medicine, Division of General, Geriatric, Palliative &amp; Hospital Medicine"
DL,faculty/sl9pc,David Scott Lim,1,Professor,School of Medicine,"Department of Medicine, Cardiovascular Medicine"
DL,faculty/dl2ju,Daniel Levin,1,Assistant Professor,School of Medicine,Department of Surgery
DL,faculty/dwl5w,David W. Lehman,1,Professor,McIntire School of Commerce,McIntire School of Commerce
DL,faculty/dl2h,Daniel S. Lefkowitz,1,Associate Professor,College of Arts and Sciences,Department of Anthropology
DL,faculty/dl4fh,Donald Leech,1,Associate Professor,UVA College at Wise,UVA College at Wise
DL,faculty/dwl4q,Daniel Warnell Lee,1,Assistant Professor of Pediatrics,School of Medicine,Department of Pediatrics
DL,faculty/dal7w,David Andrew Leblang,1,Professor,College of Arts and Sciences,Department of Politics
DL,faculty/dl2rf,David Lapides,1,Assistant Professor,School of Medicine,Department of Neurology
DL,faculty/dal7u,Daniel Landes,1,Associate Professor,School of Medicine,Department of Otolaryngology - Head and Neck Surgery
DL,faculty/dal3h,Donna Landen,1,Assistant Professor,School of Medicine,Department of Family Medicine
DL,faculty/dll9d,Drew Lambert,1,Associate Professor,School of Medicine,Department of Radiology
DL,faculty/del2k,Douglas E. Lake,1,Professor,School of Medicine,"Department of Medicine, Cardiovascular Medicine"
DM,faculty/dcm3w,Daniel Murrie,1,Professor,School of Medicine,Department of Psychiatry and NB Sciences
DM,faculty/dpm2z,Daniel P Murphy,1,Associate Professor,Darden School of Business,Darden Graduate School of Business
DM,faculty/dgm4n,David G. Moyer,1,Assistant Professor,School of Medicine,DMED Gross Anatomy Lab
DM,faculty/dmd8a,Diana Morris,1,Assistant Professor,School of Engineering and Applied Science,Department of Engineering and Society
DM,faculty/dm7fb,Donald Molnar,1,Assistant Professor,School of Medicine,"Department of Medicine, Hospital Medicine"
DM,faculty/dgm9t,David Glen Mick,1,Professor,McIntire School of Commerce,McIntire School of Commerce
DM,faculty/dom6e,Douglas Owen Meyer,1,Assistant Professor,College of Arts and Sciences,"Women, Gender &amp; Sexuality Studies"
DM,faculty/dlm8c,Dawn Meade,1,Instructor,UVA College at Wise,UVA College at Wise
DM,faculty/dsm7b,David McLeod,1,Lecturer,College of Arts and Sciences,Department of Biology
DM,faculty/dlm4z,Deborah Lynn McGrady,1,Professor,College of Arts and Sciences,Department of French Language and Literatures
DM,faculty/dem8z,Deborah E. McDowell,1,Professor,College of Arts and Sciences,Department of English
DM,faculty/dnm8d,David McCollum,1,Assistant Professor,School of Medicine,Department of Neurology
DM,faculty/dmm7d,Darcy Mariah Martin,1,Instructor,UVA College at Wise,UVA College at Wise
DM,faculty/dm5jc,Deepyaman Maiti,1,Assistant Professor,School of Engineering and Applied Science,Department of Engineering and Society
DN,faculty/dln8u,Debra L. Nystrom,1,Professor,College of Arts and Sciences,Creative Writing Program
DN,faculty/dn2ep,David Nichols,1,Assistant Professor,College of Arts and Sciences,Department of Physics
DN,faculty/dn4w,Denis Nekipelov,1,Associate Professor,College of Arts and Sciences,Department of Economics
DO,faculty/dro,Daniel R. Ortiz,1,Professor,School of Law,School of Law
DO,faculty/do9px,Daniel Orr,1,Lecturer,UVA College at Wise,UVA College at Wise
DO,faculty/dao2a,David Ornan,1,Assistant Professor,School of Medicine,Department of Radiology
DO,faculty/do2n,Dotan Oliar,1,Professor,School of Law,School of Law
DO,faculty/do2xz,Daniel O'Hearn,1,Professor,School of Medicine,"Department of Medicine, Pulmonary and Critical Care"
DP,faculty/dp2bs,Didier Portilla,1,Professor,School of Medicine,"Department of Medicine, Nephrology Division"
DP,faculty/dgp4r,Dana G. Popescu,1,Associate Professor,Darden School of Business,Darden Graduate School of Business
DP,faculty/dp5m,Dinko Pocanic,1,Professor,College of Arts and Sciences,Institute for Nuclear and Particle Physics
DP,faculty/dwp2g,Daniel W. Player,1,Associate Professor,Frank Batten School of Leadership and Public Policy,Frank Batten School of Leadership &amp; Public Policy
DP,faculty/dvp4c,Daniel Pitti,1,Lecturer,University of Virginia Library,University of Virginia Library
DP,faculty/dp7bx,Dmytro Pesin,1,Associate Professor,College of Arts and Sciences,Department of Physics
DP,faculty/dgp3a,Debra Perina,1,Professor,School of Medicine,Department of Emergency Medicine
DP,faculty/dwp7k,Deborah W. Parker,1,Professor,College of Arts and Sciences,"Department for Spanish, Italian, and Portuguese"
DP,faculty/dmp6n,David Michael Parichy,1,Professor,College of Arts and Sciences,Department of Biology
DP,faculty/dep6b,Diane E. Pappas,1,Professor,School of Medicine,Department of Pediatrics
DP,faculty/dp3r,Dongfeng Pan,1,Associate Professor,School of Medicine,Department of Radiology
DQ,faculty/dbq9d,Daniel Benjamin Quinn,1,Assistant Professor,School of Engineering and Applied Science,Department of Mechanical and Aerospace Engineering
DR,faculty/dar2h,Deborah Ryan,1,Lecturer,University Advancement,Office of Health System Development
DR,faculty/dsr4f,David Rubendall,1,Associate Professor,School of Medicine,Department of Physical Medicine and Rehabilitation
DR,faculty/dr3xx,Daniel Rosenkrantz,1,Professor,Provost's Office,PV-Biocomplexity Initiative
DR,faculty/dkr5t,Dylan Rogers,1,Lecturer,College of Arts and Sciences,Department of Art
DR,faculty/dar2x,Deborah A. Roach,1,Professor,College of Arts and Sciences,Department of Biology
DR,faculty/dlr,Donald Reynard,1,Lecturer,Information Technology Services,Information Technology Services
DR,faculty/dlr3r,Deborah Rexrode,1,Lecturer,Provost's Office,Office of the Executive Vice President and Provost
DR,faculty/drr5c,David Repaske,1,Professor,School of Medicine,Department of Pediatrics
DR,faculty/dr4u,David Rekosh,1,Professor,School of Medicine,Department of Microbiology
DR,faculty/dlr6b,Dana L. Redick,1,Associate Professor,School of Medicine,Department of Obstetrics and Gynecology
DR,faculty/der4m,David Rapp,1,Associate Professor,School of Medicine,Department of Urology
DS,faculty/des5z,Deja Elana Swartz,1,Assistant Professor,College of Arts and Sciences,Department of Media Studies
DS,faculty/des5j,Donald Sundgren,1,Lecturer,Facilities Management,Facilities Management Department
DS,faculty/dss7a,Daniel Strand,1,Associate Professor,School of Medicine,"Department of Medicine, Gastroenterology"
DS,faculty/dws3g,Daniel W. Steeper,1,Lecturer,McIntire School of Commerce,McIntire School of Commerce
DS,faculty/djs4y,Dan Jerome Spitzner,1,Associate Professor,College of Arts and Sciences,Department of Statistics
DS,faculty/dws4w,Donald W. Sorah,1,Associate Professor,UVA College at Wise,UVA College at Wise
DS,faculty/ds5nd,Dmitriy Sonkin,1,Assistant Professor,College of Arts and Sciences,Department of Mathematics
DS,faculty/dcs8f,David Carl Smith,1,Professor,McIntire School of Commerce,McIntire School of Commerce
DS,faculty/des3e,David E. Smith,1,Professor,College of Arts and Sciences,Department of Environmental Sciences
DS,faculty/dls6s,David L. Slutzky,1,Associate Professor,School of Engineering and Applied Science,Department of Engineering and Society
DS,faculty/das8sd,David Andrew Skubby,1,Assistant Professor,College of Arts and Sciences,Department of Sociology
DS,faculty/ds2ax,David Roth Singerman,1,Assistant Professor,College of Arts and Sciences,Department of History
DS,faculty/dcs5z,David Shonka,1,Associate Professor,School of Medicine,Department of Otolaryngology - Head and Neck Surgery
DS,faculty/dcs8s,David Shisler,1,Assistant Professor,School of Medicine,"Department of Medicine, Cardiovascular Medicine"
DS,faculty/ds3ru,Debbie-Ann Shirley,1,Associate Professor,School of Medicine,Department of Pediatrics
DS,faculty/des5e,David Edward Sherman,1,Associate Professor,College of Arts and Sciences,Department of Mathematics
DS,faculty/dps7u,Daniel Sheeran,1,Assistant Professor,School of Medicine,Department of Radiology
DS,faculty/drs2n,David Sewell,1,Manager of Digital Initiatives and Rotunda Imprint,Provost's Office,University of Virginia Press
DS,faculty/dls8kb,Daniel Lee Sender,1,Associate Professor,College of Arts and Sciences,Department of Music
DS,faculty/dss3k,Daniel Schneider,1,Associate Professor,School of Medicine,Department of Pediatrics
DS,faculty/djs9c,David J. Schlesinger,1,Associate Professor,School of Medicine,Department of Radiation Oncology
DS,faculty/ds4jd,David Schiff,1,Professor,School of Medicine,Department of Neurology
DS,faculty/das9w,Dorothy Schafer,1,Associate Professor,College of Arts and Sciences,Department of Biology
DS,faculty/djs6k,David Joseph Sariti,1,Associate Professor,College of Arts and Sciences,Department of Music
DT,faculty/dwt7x,Donald Trivett,1,Instructor,UVA College at Wise,UVA College at Wise
DT,faculty/dt8da,Davide Tomio,1,Assistant Professor,Darden School of Business,Darden Graduate School of Business
DT,faculty/dt8n,Dariusz Tolczyk,1,Professor,College of Arts and Sciences,Department of Slavic Languages and Literatures
DT,faculty/djt6h,Douglas J. Thomas,1,Professor,Darden School of Business,Darden Graduate School of Business
DT,faculty/dt7sj,Danny J. Theodore,1,Assistant Professor,School of Medicine,Department of Anesthesiology
DT,faculty/dst2c,D Sebastian Tello-Trillo,1,Assistant Professor,Frank Batten School of Leadership and Public Policy,Frank Batten School of Leadership &amp; Public Policy
DT,faculty/drt3b,Douglas R. Taylor,1,Professor,College of Arts and Sciences,Department of Biology
DT,faculty/drt3e,Doug Tammen,1,Facility Manager,Athletics Department,Department of Intramural-Recreational Sports
DV,faculty/dv2k,Dennis Vollmer,1,Professor,School of Medicine,Department of Neurological Surgery
DV,faculty/dv3h,Diana Vaman,1,Professor,College of Arts and Sciences,Department of Physics
DV,faculty/dlv8g,David Vander Meulen,1,Professor,College of Arts and Sciences,Department of English
DW,faculty/djw3w,David Wu,1,Assistant Professor,School of Engineering and Applied Science,Department of Computer Science
DW,faculty/dw2p,David Wotton,1,Professor,School of Medicine,Department of Biochemistry and Molecular Genetics
DW,faculty/dlw3a,Debra Woodson,1,Lecturer,University Advancement,Office of Health System Development
DW,faculty/dcw7a,Dorothy Wong,1,Professor,College of Arts and Sciences,Department of Art
DW,faculty/dtw2t,Daniel T. Wilson,1,Lecturer,Health System,Claude Moore Health Sciences Library
DW,faculty/dbw8m,Daniel Thompson Willingham,1,Professor,College of Arts and Sciences,Department of Psychology
DW,faculty/dw4pd,Derick J. Williams,1,Associate Professor,Curry School of Education,Curry School of Education
DW,faculty/dsw4n,David S. Wilkes,1,Dean and Professor,School of Medicine,MD-DMED School of Medicine Administration
DW,faculty/dmw8f,D. Mark Mark Whittle,1,Professor,College of Arts and Sciences,Department of Astronomy
DW,faculty/dew6d,Diane E. Whaley,1,Professor,Curry School of Education,Curry School of Education
DW,faculty/dbw5t,David B. Weiss,1,Associate Professor,School of Medicine,"Orthopaedic Surgery, Trauma"
DW,faculty/dw7n,Denise Way,1,Assistant Professor,School of Medicine,Department of Family Medicine
DW,faculty/dmw3v,Denise Marie Walsh,1,Associate Professor,College of Arts and Sciences,Department of Politics
DW,faculty/daw4h,David A. Waldner,1,Associate Professor,College of Arts and Sciences,Department of Politics
DW,faculty/dev3a,Derry Voysey Wade,1,"Director, Communications &amp; Outreach",Darden School of Business,Darden Graduate School of Business
DY,faculty/dsy7c,Denise Young,1,Associate Professor,School of Medicine,Department of Obstetrics and Gynecology
DY,faculty/dty3h,Dennis T. Yang,1,Professor,Darden School of Business,Darden Graduate School of Business
EA,faculty/eca2t,Emily Ayers,1,Assistant Professor,School of Medicine,"Department of Medicine, Hematology and Oncology"
EA,faculty/eta2h,Erika Axeen,1,Assistant Professor,School of Medicine,Department of Neurology
EA,faculty/ewa3a,Eric Anderson,1,Lecturer,School of Engineering and Applied Science,Department of Chemical Engineering
EA,faculty/esa3p,Elizabeth Alexander,1,Professor,College of Arts and Sciences,Department of Religious Studies
EA,faculty/ea6n,Emaad M. Abdel-Rahman,1,Professor,School of Medicine,"Department of Medicine, Nephrology Division"
EB,faculty/etb6d,Edwin T. Burton,1,Professor,College of Arts and Sciences,Department of Economics
EB,faculty/edb9j,Edmund Darrell Brodie,1,Professor,College of Arts and Sciences,Department of Biology
EB,faculty/ecb2j,Erik C. Braun,1,Associate Professor,College of Arts and Sciences,Department of Religious Studies
EB,faculty/ejb4a,Elizabeth B. Bradley,1,Associate Professor,School of Medicine,"School of Medicine, Student Acad Support"
EB,faculty/ehb2z,Edward H. Bertram,1,Professor,School of Medicine,Department of Neurology
EB,faculty/emb7d,Ellen Marie Bassett,1,Professor,School of Architecture,Department of Urban and Environmental Planning
EB,faculty/eb6cu,Emily Barton,1,Assistant Professor,Curry School of Education,Curry School of Education
EB,faculty/ejb8x,Eugene J. Barrett,1,Professor,School of Medicine,"Department of Medicine, Endocrinology and Metabolism"
EB,faculty/ejb5r,Elizabeth Jeanne Barnes,1,Professor,College of Arts and Sciences,Department of Philosophy
EB,faculty/eb2d,Evelyn Bargmann,1,Assistant Professor,School of Medicine,"Department of Medicine, Division of General, Geriatric, Palliative &amp; Hospital Medicine"
EB,faculty/ed5z,Edie Devers Barbero,1,Assistant Professor,School of Nursing,School of Nursing
EB,faculty/eb8cn,Ehsan Baharlou,1,Assistant Professor,School of Architecture,Department of Architecture
EC,faculty/ec8kk,Elizabeth Courville,1,Associate Professor,School of Medicine,Department of Pathology
EC,faculty/ejc3q,Edward J. Coffey,1,Professor,College of Arts and Sciences,Department of Music
EC,faculty/eec3c,Edith W. Clowes,1,Professor,College of Arts and Sciences,Department of Slavic Languages and Literatures
EC,faculty/elc2n,Elgin L. Cleckley,1,Assistant Professor,School of Architecture,Department of Architecture
EC,faculty/ebd2r,Erin Clabough,1,Associate Professor,College of Arts and Sciences,Department of Psychology
EC,faculty/eyc4m,Eileen Y. Chou,1,Associate Professor,Frank Batten School of Leadership and Public Policy,Frank Batten School of Leadership &amp; Public Policy
EC,faculty/efc4p,Enrico F. Cesaretti,1,Associate Professor,College of Arts and Sciences,"Department for Spanish, Italian, and Portuguese"
EC,faculty/elc6b,Eli Lee Carter,1,Associate Professor,College of Arts and Sciences,"Department for Spanish, Italian, and Portuguese"
ED,faculty/ecd3m,Edmond Craig Dukes,1,Professor,College of Arts and Sciences,Institute for Nuclear and Particle Physics
ED,faculty/eje,Emily E. Drake,1,Professor,School of Nursing,School of Nursing
ED,faculty/ecd6m,Elizabeth C. Dotson-Shupe,1,Assistant Professor,UVA College at Wise,UVA College at Wise
ED,faculty/ead2y,Emily A. Dotson,1,Associate Professor,UVA College at Wise,UVA College at Wise
ED,faculty/ed8bg,Evangelos Dimou,1,Assistant Professor,College of Arts and Sciences,Department of Mathematics
ED,faculty/emd4a,Ekaterina M. Dianina,1,Associate Professor,College of Arts and Sciences,Department of Slavic Languages and Literatures
ED,faculty/ed3m,Elizabeth Denton,1,Assistant Professor,College of Arts and Sciences,Creative Writing Program
ED,faculty/emd9b,Eric M. Davis,1,Associate Professor,School of Medicine,"Department of Medicine, Pulmonary and Critical Care"
ED,faculty/ed8c,Eve Danziger,1,Professor,College of Arts and Sciences,Department of Anthropology
EE,faculty/meg4u,Beth Epstein,1,Associate Professor,School of Nursing,School of Nursing
EE,faculty/eae2f,Elizabeth Ellcessor,1,Associate Professor,College of Arts and Sciences,Department of Media Studies
EE,faculty/ehe2n,Edward H. Egelman,1,Professor,School of Medicine,Department of Biochemistry and Molecular Genetics
EE,faculty/ele3a,Erin Lovenia Eaker,1,Assistant Professor,College of Arts and Sciences,College of Arts and Sciences
EF,faculty/eef3c,Elizabeth E. Friberg,1,Associate Professor,School of Nursing,School of Nursing
EF,faculty/ef4n,Elizabeth Fowler,1,Associate Professor,College of Arts and Sciences,Department of English
EF,faculty/ewf5db,Everette Fortner,1,"Assoc Vice President, Career &amp; Professional Development",Student Affairs,Office of University Career Services
EF,faculty/ejs6yc,Elizabeth Flood,1,Lecturer,College of Arts and Sciences,College of Arts and Sciences
EF,faculty/ejf3ma,Edward Finley,1,Lecturer,McIntire School of Commerce,McIntire School of Commerce
EF,faculty/ejf2ur,Esteban Figueroa,1,Assistant Professor,School of Medicine,"Department of Medicine, Gastroenterology"
